arquivo_csv,quantidade_itens,capacidade_peso,capacidade_volume,tempo_medio_dp,tempo_medio_bt,tempo_medio_bb,razao_tempo_bt_sobre_dp,razao_tempo_bb_sobre_dp,razao_tempo_bb_sobre_bt
bb_dp_combinacoes_1000_nwp.csv,200.0,700.0,600.0,"0,18",,"0,018",,"0,099",
bb_dp_combinacoes_1000_nwp.csv,200.0,700.0,700.0,"0,23",,"0,013",,"0,058",
bb_dp_combinacoes_1000_nwp.csv,200.0,700.0,800.0,"0,2",,"0,032",,"0,16",
bb_dp_combinacoes_1000_nwp.csv,200.0,700.0,900.0,"0,45",,"0,054",,"0,12",
bb_dp_combinacoes_1000_nwp.csv,200.0,700.0,1000.0,"0,32",,"0,061",,"0,19",
bb_dp_combinacoes_1000_nwp.csv,200.0,800.0,100.0,"0,063",,"0,025",,"0,4",
bb_dp_combinacoes_1000_nwp.csv,200.0,800.0,200.0,"0,11",,"0,024",,"0,21",
bb_dp_combinacoes_1000_nwp.csv,200.0,800.0,300.0,"0,2",,"0,075",,"0,37",
bb_dp_combinacoes_1000_nwp.csv,200.0,800.0,400.0,"0,15",,"0,038",,"0,26",
bb_dp_combinacoes_1000_nwp.csv,200.0,800.0,500.0,"0,24",,"0,027",,"0,11",
bb_dp_combinacoes_1000_nwp.csv,200.0,800.0,600.0,"0,37",,"0,039",,"0,1",
bb_dp_combinacoes_1000_nwp.csv,200.0,800.0,700.0,"0,32",,"0,026",,"0,081",
bb_dp_combinacoes_1000_nwp.csv,200.0,800.0,800.0,"0,23",,"0,014",,"0,061",
bb_dp_combinacoes_1000_nwp.csv,200.0,800.0,900.0,"0,34",,"0,036",,"0,11",
bb_dp_combinacoes_1000_nwp.csv,200.0,800.0,1000.0,"0,27",,"0,028",,"0,11",
bb_dp_combinacoes_1000_nwp.csv,200.0,900.0,100.0,"0,035",,"0,012",,"0,35",
bb_dp_combinacoes_1000_nwp.csv,200.0,900.0,200.0,"0,071",,"0,024",,"0,34",
bb_dp_combinacoes_1000_nwp.csv,200.0,900.0,300.0,"0,079",,"0,016",,"0,21",
bb_dp_combinacoes_1000_nwp.csv,200.0,900.0,400.0,"0,23",,"0,03",,"0,13",
bb_dp_combinacoes_1000_nwp.csv,200.0,900.0,500.0,"0,13",,"0,014",,"0,11",
bb_dp_combinacoes_1000_nwp.csv,200.0,900.0,600.0,"0,2",,"0,025",,"0,13",
bb_dp_combinacoes_1000_nwp.csv,200.0,900.0,700.0,"0,22",,"0,011",,"0,053",
bb_dp_combinacoes_1000_nwp.csv,200.0,900.0,800.0,"0,18",,"0,019",,"0,1",
bb_dp_combinacoes_1000_nwp.csv,200.0,900.0,900.0,"0,16",,"0,026",,"0,17",
bb_dp_combinacoes_1000_nwp.csv,200.0,900.0,1000.0,"0,31",,"0,021",,"0,068",
bb_dp_combinacoes_1000_nwp.csv,200.0,1000.0,100.0,"0,042",,"0,015",,"0,35",
bb_dp_combinacoes_1000_nwp.csv,200.0,1000.0,200.0,"0,13",,"0,028",,"0,23",
bb_dp_combinacoes_1000_nwp.csv,200.0,1000.0,300.0,"0,077",,"0,013",,"0,17",
bb_dp_combinacoes_1000_nwp.csv,200.0,1000.0,400.0,"0,19",,"0,017",,"0,088",
bb_dp_combinacoes_1000_nwp.csv,200.0,1000.0,500.0,"0,22",,"0,035",,"0,16",
bb_dp_combinacoes_1000_nwp.csv,200.0,1000.0,600.0,"0,25",,"0,019",,"0,078",
bb_dp_combinacoes_1000_nwp.csv,200.0,1000.0,700.0,"0,27",,"0,027",,"0,1",
bb_dp_combinacoes_1000_nwp.csv,200.0,1000.0,800.0,"0,21",,"0,02",,"0,093",
bb_dp_combinacoes_1000_nwp.csv,200.0,1000.0,900.0,"0,22",,"0,0092",,"0,042",
bb_dp_combinacoes_1000_nwp.csv,200.0,1000.0,1000.0,"0,2",,"0,014",,"0,071",
bb_dp_combinacoes_1000_nwp.csv,300.0,100.0,100.0,"0,021",,"0,14",,"6,7446",
bb_dp_combinacoes_1000_nwp.csv,300.0,100.0,200.0,"0,029",,"0,15",,"5,2540",
bb_dp_combinacoes_1000_nwp.csv,300.0,100.0,300.0,"0,041",,"0,15",,"3,6037",
bb_dp_combinacoes_1000_nwp.csv,300.0,100.0,400.0,"0,061",,"0,2",,"3,3159",
bb_dp_combinacoes_1000_nwp.csv,300.0,100.0,500.0,"0,082",,"0,16",,"2,0078",
bb_dp_combinacoes_1000_nwp.csv,300.0,100.0,600.0,"0,11",,"0,28",,"2,6530",
bb_dp_combinacoes_1000_nwp.csv,300.0,100.0,700.0,"0,12",,"0,35",,"3,0361",
bb_dp_combinacoes_1000_nwp.csv,300.0,100.0,800.0,"0,16",,"0,33",,"2,0370",
bb_dp_combinacoes_1000_nwp.csv,300.0,100.0,900.0,"0,19",,"0,39",,"2,0305",
bb_dp_combinacoes_1000_nwp.csv,300.0,100.0,1000.0,"0,29",,"0,29",,"1,0197",
bb_dp_combinacoes_1000_nwp.csv,300.0,200.0,100.0,"0,042",,"0,15",,"3,6779",
bb_dp_combinacoes_1000_nwp.csv,300.0,200.0,200.0,"0,07",,"0,18",,"2,6053",
bb_dp_combinacoes_1000_nwp.csv,300.0,200.0,300.0,"0,18",,"0,66",,"3,7749",
bb_dp_combinacoes_1000_nwp.csv,300.0,200.0,400.0,"0,4",,"0,73",,"1,8449",
bb_dp_combinacoes_1000_nwp.csv,300.0,200.0,500.0,"0,28",,"0,45",,"1,5662",
bb_dp_combinacoes_1000_nwp.csv,300.0,200.0,600.0,"0,35",,"0,69",,"1,9919",
bb_dp_combinacoes_1000_nwp.csv,300.0,200.0,700.0,"0,35",,"0,55",,"1,6030",
bb_dp_combinacoes_1000_nwp.csv,300.0,200.0,800.0,"0,28",,"0,18",,"0,65",
bb_dp_combinacoes_1000_nwp.csv,300.0,200.0,900.0,"0,29",,"0,25",,"0,86",
bb_dp_combinacoes_1000_nwp.csv,300.0,200.0,1000.0,"0,31",,"0,33",,"1,0388",
bb_dp_combinacoes_1000_nwp.csv,300.0,300.0,100.0,"0,048",,"0,47",,"9,7696",
bb_dp_combinacoes_1000_nwp.csv,300.0,300.0,200.0,"0,077",,"0,19",,"2,4497",
bb_dp_combinacoes_1000_nwp.csv,300.0,300.0,300.0,"0,13",,"0,19",,"1,4922",
bb_dp_combinacoes_1000_nwp.csv,300.0,300.0,400.0,"0,18",,"0,22",,"1,2757",
