n,W,V,rep,instance,algorithm,profit,chosen_items,time_seconds,time_unit,status
600,100,100,1,instances/n600_w100_v100_r1.txt,dp,10535.0,55 64 86 149 183 193 289 315 340 373 499 560 561,0.069559522,seconds,
600,100,100,1,instances/n600_w100_v100_r1.txt,bt,10535.0,55 64 86 149 183 193 289 315 340 373 499 560 561,3315.117764572,seconds,
600,100,100,1,instances/n600_w100_v100_r1.txt,bb,10535.0,55 64 86 149 183 193 289 315 340 373 499 560 561,166.646130553,seconds,
600,100,100,2,instances/n600_w100_v100_r2.txt,dp,9301.0,100 129 155 163 206 442 453 484 485 493 534 544,0.062901308,seconds,
600,100,100,2,instances/n600_w100_v100_r2.txt,bt,9301.0,100 129 155 163 206 442 453 484 485 493 534 544,776.381229632,seconds,
600,100,100,2,instances/n600_w100_v100_r2.txt,bb,9301.0,100 129 155 163 206 442 453 484 485 493 534 544,70.693072695,seconds,
600,100,100,3,instances/n600_w100_v100_r3.txt,dp,7977.0,231 268 282 301 461 527 530 533 583 597,0.0727053,seconds,
600,100,100,3,instances/n600_w100_v100_r3.txt,bt,7977.0,231 268 282 301 461 527 530 533 583 597,147.831214668,seconds,
600,100,100,3,instances/n600_w100_v100_r3.txt,bb,7977.0,231 268 282 301 461 527 530 533 583 597,16.28969215,seconds,
600,100,100,4,instances/n600_w100_v100_r4.txt,dp,8640.0,48 59 71 87 109 118 124 156 166 267 322 419 477,0.090379984,seconds,
600,100,100,4,instances/n600_w100_v100_r4.txt,bt,8640.0,48 59 71 87 109 118 124 156 166 267 322 419 477,1323.847893623,seconds,
600,100,100,4,instances/n600_w100_v100_r4.txt,bb,8640.0,48 59 71 87 109 118 124 156 166 267 322 419 477,31.256045399,seconds,
600,100,100,5,instances/n600_w100_v100_r5.txt,dp,5687.0,18 55 95 185 233 345 411 457,0.064262014,seconds,
600,100,100,5,instances/n600_w100_v100_r5.txt,bt,5687.0,18 55 95 185 233 345 411 457,9.431184467,seconds,
600,100,100,5,instances/n600_w100_v100_r5.txt,bb,5687.0,18 55 95 185 233 345 411 457,2.488234957,seconds,
600,100,100,6,instances/n600_w100_v100_r6.txt,dp,7127.0,98 230 270 303 347 394 434 458 465 564,0.070960876,seconds,
600,100,100,6,instances/n600_w100_v100_r6.txt,bt,7127.0,98 230 270 303 347 394 434 458 465 564,61.29939406,seconds,
600,100,100,6,instances/n600_w100_v100_r6.txt,bb,7127.0,98 230 270 303 347 394 434 458 465 564,10.905534351,seconds,
600,100,100,7,instances/n600_w100_v100_r7.txt,dp,8267.0,18 92 186 203 286 381 392 510 535 556 562,0.059097988,seconds,
600,100,100,7,instances/n600_w100_v100_r7.txt,bt,8267.0,18 92 186 203 286 381 392 510 535 556 562,211.809543152,seconds,
600,100,100,7,instances/n600_w100_v100_r7.txt,bb,8267.0,18 92 186 203 286 381 392 510 535 556 562,9.189837891,seconds,
600,100,100,8,instances/n600_w100_v100_r8.txt,dp,8457.0,215 220 302 340 370 405 457 580 598 599,0.080571747,seconds,
600,100,100,8,instances/n600_w100_v100_r8.txt,bt,8457.0,220 302 340 348 370 405 457 580 598 599,221.982541031,seconds,
600,100,100,8,instances/n600_w100_v100_r8.txt,bb,8457.0,220 302 340 348 370 405 457 580 598 599,6.779675671,seconds,
600,100,100,9,instances/n600_w100_v100_r9.txt,dp,10618.0,19 29 36 97 100 189 200 225 247 376 404 489 547 558 561 567,0.097375063,seconds,
600,100,100,9,instances/n600_w100_v100_r9.txt,bt,10618.0,19 29 36 97 100 189 200 225 247 376 404 489 547 558 561 567,4237.431484779,seconds,
600,100,100,9,instances/n600_w100_v100_r9.txt,bb,10618.0,19 29 36 97 100 189 200 225 247 376 404 489 547 558 561 567,302.780160423,seconds,
600,100,100,10,instances/n600_w100_v100_r10.txt,dp,6826.0,31 50 146 164 233 319 345 440 444 543,0.060641746,seconds,
600,100,100,10,instances/n600_w100_v100_r10.txt,bt,6826.0,31 50 146 164 233 319 345 440 444 543,143.717044018,seconds,
600,100,100,10,instances/n600_w100_v100_r10.txt,bb,6826.0,31 50 146 164 233 319 345 440 444 543,11.765363381,seconds,
700,100,100,1,instances/n700_w100_v100_r1.txt,dp,8326.0,76 151 248 369 380 491 600 621 628 650 664,0.087197708,seconds,
700,100,100,1,instances/n700_w100_v100_r1.txt,bt,8326.0,76 151 248 369 380 491 600 621 628 650 664,552.10251604,seconds,
700,100,100,1,instances/n700_w100_v100_r1.txt,bb,8326.0,76 151 248 369 380 491 600 621 628 650 664,33.974615559,seconds,
700,100,100,2,instances/n700_w100_v100_r2.txt,dp,7098.0,42 105 215 216 277 463 475 634 698,0.116339132,seconds,
700,100,100,2,instances/n700_w100_v100_r2.txt,bt,7098.0,42 105 215 216 277 463 475 634 698,137.688929188,seconds,
700,100,100,2,instances/n700_w100_v100_r2.txt,bb,7098.0,42 105 215 216 277 463 475 634 698,44.329204966,seconds,
700,100,100,3,instances/n700_w100_v100_r3.txt,dp,6308.0,123 174 212 214 223 272 503 577 595,0.079396929,seconds,
700,100,100,3,instances/n700_w100_v100_r3.txt,bt,6308.0,123 174 212 214 223 272 503 577 595,366.448306477,seconds,
700,100,100,3,instances/n700_w100_v100_r3.txt,bb,6308.0,123 174 212 214 223 272 503 577 595,57.341597728,seconds,
700,100,100,4,instances/n700_w100_v100_r4.txt,dp,8453.0,97 101 184 267 279 286 344 392 543 654 669,0.077942553,seconds,
700,100,100,4,instances/n700_w100_v100_r4.txt,bt,8453.0,97 101 184 267 279 286 344 392 543 654 669,862.936890707,seconds,
700,100,100,4,instances/n700_w100_v100_r4.txt,bb,8453.0,97 101 184 267 279 286 344 392 543 654 669,22.807648783,seconds,
